1745331304.0223835,30,-70,667,0,40,39,4,8,-39,-38,-12,-16,36,34,20,24,-30,-29,-34,-122,33,97,14,-69,76,17,23,-16,95,44,-42,15,52,-1,-79,35,8,-12,-25,-17,-6,40,17,7,-73,-2,77,40,-56,-28,113,-2,-20,-22,115
1745331304.322284,23,-65,670,-21,-55,-58,15,9,58,59,-1,7,-59,-58,-14,-19,56,53,33,99,25,-72,-3,40,-63,0,-41,9,-94,-27,31,-10,-24,16,83,-48,-49,12,78,16,-20,-54,34,-1,40,2,-42,-44,43,39,-112,25,16,-8,-125
1745331304.6258173,14,-69,673,9,25,25,-6,-3,-26,-27,1,-3,26,25,7,11,-24,-19,-16,-33,-121,9,29,-66,4,-29,28,-58,37,32,9,-1,32,76,-61,-1,71,41,-70,-4,0,54,-33,26,23,-20,-22,-2,11,-85,38,0,-19,-52,61
1745331304.9290597,31,-69,676,-4,43,41,9,13,-40,-38,-19,-24,35,32,28,31,-28,-25,-39,-118,40,88,-3,-74,68,23,7,-18,88,41,-48,3,53,0,-78,30,2,0,-10,-14,1,42,38,-2,-62,-8,95,33,-52,-29,104,7,-26,-15,97
1745331305.4258773,36,-74,681,14,21,22,-10,-9,-23,-24,5,2,24,24,0,2,-24,-26,-12,-123,36,82,32,-80,39,21,16,-49,67,24,-24,-31,25,-22,-50,53,-17,-18,11,15,-7,20,36,28,-61,-4,80,48,-29,-15,74,-1,8,-19,49
1745331305.6274273,3,-73,683,18,-6,-3,-18,-19,1,-1,18,18,2,5,-17,-17,-8,-12,19,83,93,32,-118,-30,-19,45,-55,-10,-17,-38,-1,-67,56,27,75,-53,-78,33,101,44,-20,12,51,-20,-14,79,13,-55,-78,42,15,1,9,68,-30
1745331305.826477,36,-73,685,-14,-22,-24,12,9,25,27,-5,-2,-27,-27,0,-3,27,28,10,125,-16,-82,-42,78,-28,-17,-25,54,-59,-25,13,30,-19,21,42,-52,8,24,0,-12,5,-18,-26,-36,56,8,-65,-54,23,14,-68,3,-5,23,-52
1745331306.1369874,13,-71,688,21,8,11,-19,-18,-13,-15,16,14,18,19,-11,-8,-21,-19,1,-75,-97,0,18,-56,43,-14,32,-44,69,36,3,26,31,30,-81,29,66,12,-82,-1,-6,29,-54,36,-1,-26,-21,-6,17,-37,70,-9,-13,-11,70
1745331306.4278114,5,-76,691,-11,2,0,10,11,1,2,-10,-9,-4,-5,10,9,6,9,-11,-79,-96,-50,98,14,33,-43,47,7,32,35,8,71,-28,-13,-80,41,78,-11,-106,-37,9,-4,-53,18,13,-68,-27,25,73,-16,0,-3,-13,-54,24
1745331306.7292404,17,-67,694,27,-27,-23,-30,-33,18,14,35,36,-10,-6,-38,-37,0,-9,36,-90,84,22,-27,44,51,41,6,87,38,1,-33,39,-11,-74,-17,61,-45,-77,-6,7,-5,-42,-37,-7,-27,-1,13,-15,1,86,30,-13,16,83,7
1745331307.0219119,21,-66,697,54,0,7,-53,-52,-13,-20,49,47,25,31,-42,-37,-37,-45,29,-103,39,36,-30,34,81,35,30,75,97,3,-29,30,18,-77,-40,82,-10,-67,-46,12,12,-6,-57,-15,-31,20,16,-24,-40,93,79,-29,10,102,55
1745331307.3302073,14,-69,700,5,26,27,-2,0,-27,-27,-4,-7,26,24,10,14,-23,-16,-19,4,-124,-9,17,-67,-5,-31,13,-78,26,24,26,-5,42,74,-42,-18,70,64,-49,2,-2,58,-14,26,22,-6,-27,-12,2,-77,27,3,-18,-58,45
1745331307.6217177,25,-67,703,-49,19,14,50,52,-9,-1,-53,-52,-5,-13,50,49,18,31,-45,10,-89,0,68,-91,-54,-29,-4,-116,-40,34,23,-33,11,91,-16,-42,43,54,4,-9,-10,13,53,49,15,-50,10,40,32,-121,-19,25,-25,-122,7
1745331307.923731,25,-67,706,-51,-9,-15,50,47,22,27,-45,-41,-32,-37,37,31,41,50,-22,56,-70,-37,57,-47,-92,-21,-20,-72,-96,18,37,-34,-8,84,35,-59,14,42,32,-1,-13,-19,52,34,38,-47,-21,15,49,-91,-78,34,-7,-105,-58
1745331308.2262244,2,-74,709,-1,-15,-15,0,-2,15,14,4,5,-13,-13,-7,-8,12,12,12,102,-20,-85,-85,-19,18,-26,-67,-2,9,-21,25,18,83,66,15,-82,2,92,20,-4,-45,45,19,-29,2,45,-55,-83,12,44,-37,9,3,10,-85
1745331308.5463214,7,-77,712,3,9,9,-2,0,-9,-9,0,-1,9,9,2,4,-8,-12,-4,-17,123,85,-13,31,-35,53,1,34,-39,-18,-26,-51,-47,-55,70,25,-84,-65,71,22,24,-34,45,-10,-15,23,65,34,-50,28,-14,-7,12,36,4
