1744842888.3896325,17,-63,17301,-33,-17,-21,31,28,24,28,-24,-21,-31,-33,17,12,35,36,-7,-7,13,-49,19,-36,-1,21,66,-11,-27,43,39,-15,2,24,-55,0,-36,21,13,1,-20,-27,34,-11,39,-49,60,17,56,-13,117,52,-12,-7,-14,35,-22,15,6,14,-61,50,-38,-60,-55,23,-107,-8,8,49,21,-31,-25,-4,31,-37,27,-45,101,8,59,23,123,0,-37,12,9,12,51,-7,36,69,-9,-29,5,48,-34,0,15,-48,-35,-35,-8,17,-18,-20,-4,28,32,37,17,51,59,58,-5,120,34,-2,-54,-15,5,-15,-39,10,-13,-57,-26,-29,-56,-66,48,-107,-46,7,10,30,-44,-30,26,30,9,19,41,93,62,59,3,125,8,-36,-7,12,-10,52,-2,34,14,5,-70,0,29,-25,-53,15,2,-41,42
1744842888.4161496,33,-68,17302,20,5,8,-20,-18,-11,-13,17,15,14,16,-13,-11,-17,-22,7,-31,45,30,-74,14,0,-10,-63,36,-19,-13,-3,18,-54,23,50,0,-21,-18,29,11,-2,39,-5,-9,-1,22,-28,-14,17,-63,-87,-21,37,-20,-57,-8,24,-37,2,14,30,-42,45,47,-12,16,70,-7,-26,29,-51,17,20,43,-62,25,-4,36,-111,-10,-11,-38,-113,0,22,38,41,-65,-45,2,-14,-63,-4,-11,-40,-6,12,-50,-27,54,-12,-21,-4,25,23,0,-11,2,-39,-3,9,-23,-27,14,18,-101,45,31,29,-60,8,21,14,-4,37,32,-6,35,50,-1,-48,72,-2,-27,2,-43,-39,23,-12,-53,-53,1,-25,-98,-54,-12,7,-126,14,22,3,47,-31,-59,54,-13,-5,-18,61,-41,3,11,8,-38,42,0,-53
1744842888.43982,34,-69,17303,1,-21,-20,-4,-7,19,18,9,10,-17,-16,-13,-15,14,11,19,57,24,-89,-17,-7,-12,-60,24,-31,-35,2,14,-62,-3,43,-40,-26,2,39,7,-3,-13,-10,-37,4,11,-35,-9,24,11,-74,92,45,12,-57,34,28,3,10,38,26,-23,53,29,-28,-45,65,-38,-26,11,-56,-25,16,-21,-70,-32,-8,-23,-119,-7,-5,15,-110,70,21,-4,38,-51,-41,81,-14,4,8,65,-42,21,14,1,-18,59,-26,-52,-3,25,17,-36,-14,0,-38,1,12,-1,-19,31,17,-20,70,91,22,-41,18,64,11,-26,39,0,-16,-30,41,-44,-53,13,-21,-72,5,29,-38,48,-16,-21,-48,61,-24,1,-37,114,14,9,44,117,0,-22,-39,-49,70,57,0,15,64,7,9,46,4,-13,53,33,-56,12
1744842888.4656985,15,-63,17304,21,-28,-25,-24,-27,22,19,30,32,-15,-11,-33,-34,6,1,34,-19,-7,-7,-53,9,-29,-62,0,38,0,-39,35,8,-20,52,42,33,2,-29,18,18,1,-26,-25,-39,-21,-54,-49,-63,11,-113,-40,3,51,21,-14,19,39,-15,10,58,30,17,55,68,-47,97,54,-4,-8,-25,44,29,-17,-23,-12,-22,-36,-88,-69,-63,-4,-79,-11,34,7,-10,15,-55,3,-27,-13,-7,62,6,-36,29,43,-19,-10,47,-48,6,-32,13,32,3,-18,-29,23,-26,36,-58,45,3,64,-57,106,50,4,-10,-23,42,-12,8,16,39,-52,56,-9,-38,-73,66,-88,-8,3,40,31,-14,-32,-15,21,-39,17,-82,78,-13,61,-13,77,13,-32,15,11,-6,55,-17,24,59,19,-35,-11,47,-23,-14,17,-37,-56
1744842888.4917586,1,-69,17305,-10,-12,-14,9,7,15,15,-5,-3,-16,-16,2,0,16,14,4,44,60,-53,-55,-53,8,-3,30,-51,-62,7,20,-46,12,8,-63,-14,-38,77,46,-2,-12,8,15,-16,41,-2,35,20,38,-19,124,56,24,-51,-16,22,-28,5,33,21,-81,61,0,-44,-56,48,-91,-23,3,27,-35,-13,-41,-34,-32,-7,7,-78,66,2,37,-21,122,9,-12,63,-39,-57,50,3,53,29,5,-67,44,20,-6,8,47,-62,-16,-40,12,54,-73,-13,1,16,-5,39,20,34,6,39,-17,114,30,28,-55,-17,51,-25,-25,33,-1,-78,-33,5,-61,-60,39,-90,-53,2,23,-32,-30,-42,9,-35,32,5,8,57,89,38,0,114,35,-11,-9,-32,-68,43,63,53,0,8,-28,39,70,-4,-21,47,-3,-20,58
1744842888.5182154,23,-66,17306,15,18,20,-13,-11,-22,-23,7,5,24,25,-1,0,-24,-24,-4,1,16,43,-20,38,18,13,-72,20,8,-8,-39,23,-31,-12,40,-19,9,-28,5,-14,6,40,-8,11,-20,60,-23,8,-20,27,-104,-39,0,-15,-14,-27,1,-25,-1,-19,41,-64,37,31,48,-59,91,1,-2,-27,-57,22,40,20,-56,40,-3,62,-94,8,-46,9,-100,-11,23,17,1,-13,-46,26,-34,-69,-25,12,-18,-40,0,-27,-29,37,21,4,20,0,29,3,14,-1,-41,-17,-15,-13,-63,-18,-12,-94,-52,-7,38,-16,11,-3,26,-6,25,37,26,26,70,54,-19,79,72,-2,-1,-61,16,44,-12,-52,-28,5,-40,-76,-78,-43,-17,-100,-24,20,15,4,-16,-48,3,-27,-33,-39,62,-15,-15,-7,39,-34,20,26,-33
1744842888.5395987,2,-69,17307,-15,-7,-9,14,13,11,14,-12,-10,-14,-15,8,6,16,16,-1,62,47,-65,-25,-52,22,12,31,-73,-50,21,16,-42,28,-13,-65,-30,-31,90,18,-5,-12,13,14,1,46,6,39,35,28,22,117,60,2,-51,5,12,-33,17,29,-6,-85,59,-24,-64,-40,11,-116,-20,10,21,-41,-28,-34,-41,-18,-4,11,-56,88,22,36,24,120,1,-15,55,-57,-34,61,16,55,32,-7,-57,67,17,-19,23,44,-66,5,-35,25,26,-86,-12,3,15,-11,46,1,40,-2,31,-31,126,-18,9,-60,-1,52,-31,-16,31,-13,-85,-5,-18,-61,-49,58,-108,-31,8,21,-39,-26,-38,22,-22,39,10,5,85,61,39,-15,125,-11,-15,-4,-51,-61,57,42,57,-9,-4,-33,59,66,-17,-20,47,-16,-2,65
1744842888.5636735,2,-69,17308,-7,16,15,9,10,-14,-12,-12,-14,10,8,14,16,-6,-1,-16,43,-65,-22,66,24,52,31,-12,-49,73,16,-21,29,40,-65,16,-30,30,12,-90,-12,5,13,-13,46,-4,39,-7,26,-35,125,-27,-1,-60,6,51,-35,-12,29,-17,-86,8,-26,-58,-38,64,-108,-9,10,19,-42,-20,-33,29,-16,42,11,3,95,51,35,-22,124,-25,-15,-2,-60,-51,63,31,54,-19,-9,-31,66,58,-19,-18,43,-25,8,66,28,32,-89,-23,3,13,-11,-15,1,-46,-3,-40,-32,-31,-9,-121,-59,-6,51,0,-16,32,-14,-31,-2,86,-60,19,60,45,-18,112,20,-9,-24,40,25,37,39,20,4,-10,64,-84,-18,-37,-11,-122,-4,15,-58,55,39,-59,-10,-57,-32,6,63,-62,-20,18,-18,-46,65,-3
1744842888.5938294,34,-69,17309,19,-1,0,-19,-19,-3,-5,17,17,8,9,-15,-15,-11,-16,13,-13,58,0,-87,9,-9,-31,-53,27,-34,-13,3,-7,-58,43,33,-7,-24,0,39,12,-5,33,-15,-9,6,4,-34,-7,24,-98,-52,-4,45,-43,-45,1,28,-35,16,25,20,-17,56,38,-34,47,53,-17,-22,14,-56,22,11,18,-72,19,-11,-14,-112,-16,-1,-88,-85,7,18,53,29,-84,-20,-6,-11,-59,17,-25,-36,0,13,-58,-6,42,-34,-25,0,37,10,-2,-12,-7,-36,3,11,-32,-13,22,12,-73,82,43,15,-55,30,27,6,8,37,26,-20,48,31,-24,-45,63,-32,-26,10,-51,-26,16,-18,-66,-32,-6,-22,-115,-14,-6,15,-104,60,20,-2,40,-44,-39,77,-13,2,1,62,-40,17,13,3,-20,55,-21,-50
1744842888.6457438,26,-67,17310,-22,-1,-3,22,21,7,10,-19,-18,-12,-14,17,15,16,19,-13,-6,-31,-21,52,-41,-4,27,67,-29,10,23,22,-9,50,-21,-46,16,-2,26,-26,7,-4,-32,28,4,14,-40,47,3,4,46,96,24,-27,35,19,15,-16,30,-16,-9,-42,43,-74,-47,-13,2,-108,11,6,41,59,-35,-28,3,76,-33,16,-7,119,13,38,55,116,-8,-21,-32,0,45,33,-12,39,71,-10,4,31,27,-18,46,20,-49,10,0,-17,-20,-32,-2,-9,20,37,15,0,38,49,4,-2,101,-29,-20,-30,27,-29,-12,-18,-8,-33,-43,0,-65,-56,-23,43,-104,-26,9,-9,66,-29,-35,28,75,11,9,36,121,21,40,-5,109,-14,-23,3,-7,31,42,-37,36,21,2,-72,31,2,-12,-30,28,-41,0,51
