1745343515.8256612,16,-63,492,13,40,41,-7,-3,-41,-42,-1,-7,41,41,10,15,-38,-35,-24,-37,-30,-6,3,-1,23,7,-5,-1,14,-41,25,19,-7,-77,87,42,26,-1,-1,31,5,29,32,27,-28,1,-52,-22,-6,-48,-110,-11,-17,10,22
1745343516.1316862,22,-63,495,-38,18,16,41,42,-11,-6,-43,-43,1,-3,43,42,8,18,-42,3,-45,30,26,-29,-21,25,0,-29,7,-12,-69,-7,15,-88,-91,-23,28,-52,-10,6,30,-30,47,35,3,62,18,24,-27,84,-63,29,-2,-22,-31
1745343516.4221718,32,-64,498,-12,-76,-77,2,-5,76,75,14,23,-73,-70,-31,-41,65,56,55,98,58,-70,-33,49,-26,-10,44,-5,-78,65,92,-34,-18,111,3,-32,-30,99,-11,-36,-3,-80,-61,-1,45,-126,19,34,35,10,77,-15,9,65,54
1745343516.7311656,8,-60,501,-23,-43,-46,17,13,48,49,-6,0,-50,-49,-4,-9,48,45,19,33,65,12,-25,24,-3,-1,13,41,-13,21,-19,-11,7,50,-104,-53,-30,36,35,-49,-4,-43,-27,-42,40,-6,38,-1,13,66,96,0,6,-35,20
1745343517.0226164,22,-66,504,-28,-11,-16,26,24,18,22,-22,-20,-23,-26,17,14,27,32,-9,46,-44,12,23,-2,-47,12,3,-24,-13,41,-53,-3,10,22,-121,-22,22,-31,-29,-5,28,-49,11,15,15,17,77,24,7,105,62,0,6,18,-45
1745343517.3292098,13,-64,507,31,5,8,-30,-29,-12,-15,27,26,18,21,-23,-20,-24,-29,14,-70,10,0,30,8,35,4,3,23,19,0,43,29,-29,14,116,52,-30,-23,-20,16,-33,43,-11,-23,-36,-34,-47,-23,21,-112,-37,-3,13,22,-2
1745343517.6204817,31,-62,510,51,-48,-40,-57,-61,36,27,65,69,-19,-10,-70,-71,3,-10,71,4,89,-35,-54,25,19,-42,23,23,-24,-8,100,-20,-8,75,94,8,-43,87,44,-8,-36,3,-90,-10,2,-90,-82,3,17,-71,29,-22,-1,-14,91
1745343517.9200878,13,-62,513,27,-30,-28,-30,-34,23,19,36,38,-16,-11,-39,-40,7,-1,42,-6,65,23,-8,19,2,-12,-1,20,2,24,21,-12,0,108,24,-9,-53,-16,24,-14,-27,8,-51,-39,-1,-41,4,0,6,-61,97,7,3,0,-23
1745343518.2271693,10,-62,516,19,-39,-38,-22,-25,35,32,30,33,-27,-24,-37,-39,19,10,43,-7,69,27,-30,23,6,-14,1,33,2,21,17,-9,-2,123,-16,-21,-58,2,62,-28,-32,-3,-54,-47,14,-36,8,-11,14,-28,119,9,0,-40,-25
1745343518.5355902,29,-63,519,38,-53,-48,-43,-49,44,38,54,58,-30,-23,-62,-63,18,4,68,25,92,-50,-40,34,16,-33,14,18,-31,9,89,-20,-4,85,91,-2,-44,89,27,-16,-34,-4,-75,-15,0,-101,-47,2,11,-83,44,-19,13,8,79
1745343518.8389742,24,-62,522,-50,-4,-9,50,49,15,21,-46,-43,-26,-30,41,36,35,43,-29,63,-48,13,47,8,-49,23,16,-23,-29,35,-59,0,-1,-7,-126,-41,22,-47,-48,-18,38,-60,23,14,32,26,68,14,10,103,30,31,4,24,-51
1745343519.123005,35,-63,525,-20,-85,-87,10,1,88,87,7,18,-85,-83,-28,-39,78,71,55,106,49,-99,-10,30,-14,-19,57,-8,-48,58,83,-12,25,81,-6,-51,-34,114,-46,-26,-5,-106,-52,23,24,-126,16,24,0,34,-6,-4,26,60,52
